101
220	40	414	55
191	42	108	87
238	57	156	106
143	60	153	58
263	60	381	368
236	64	138	409
245	66	162	115
302	68	247	416
188	72	104	126
170	80	82	307
154	86	73	140
246	86	162	138
203	90	260	368
301	103	201	153
264	105	294	250
243	113	160	164
242	120	159	170
350	120	268	165
180	133	308	57
250	134	168	191
366	135	284	181
269	137	183	188
226	142	143	197
382	143	298	187
232	163	91	419
83	170	254	36
222	184	402	194
391	188	313	239
199	200	118	252
352	206	262	256
402	212	315	257
332	219	437	257
209	228	296	208
378	230	364	355
76	232	184	116
290	248	17	195
329	264	240	304
269	268	172	116
308	278	229	330
323	286	244	337
310	289	232	339
358	290	282	336
428	290	186	450
126	294	240	397
274	300	196	352
324	302	240	348
441	302	172	377
254	322	176	380
110	404	227	280
262	85	280	236
260	113	173	166
211	114	129	166
341	122	256	167
294	142	400	364
234	146	158	205
108	151	252	94
362	188	272	239
438	222	154	55
320	273	444	163
248	287	168	340
311	298	232	353
248	301	284	99
132	319	138	322
384	353	318	406
271	356	284	140
257	369	180	423
405	369	336	417
142	411	466	242
200	36	117	84
95	52	106	376
248	52	93	363
312	55	236	151
150	64	171	432
221	107	137	158
276	129	192	184
448	203	353	343
434	208	371	253
460	220	316	424
328	250	239	295
445	301	369	346
361	304	281	352
332	322	290	376
87	331	189	57
353	335	276	386
177	37	64	321
204	45	235	244
264	71	184	119
124	88	379	341
52	105	448	380
376	102	455	216
463	128	113	377
36	133	392	187
395	141	311	184
472	147	345	326
164	376	111	280
390	49	224	37
248	142	156	186
306	175	382	87
143	329	318	112
361	346	396	100
340	306	262	354
